露影藏形	lù yǐng cáng xíng
流言飞文	liú yán fēi wén
以小见大	yǐ xiǎo jiàn dà
出人意外	chū rén yì wài
一字千金	yī zì qiān jīn
不干不净	bù gān bù jìng
不敢后人	bù gǎn hòu rén
牛高马大	niú gāo mǎ dà
泣不成声	qǐ bù chéng shēng
无家可归	wú jiā kě guī
鼓舞人心	gǔ wǔ rén xīn
不挠不折	bù náo bù zhé
不折不扣	bù zhé bù kòu
高人一等	gāo rén yī děng
高山仰之	gāo shān yǎng zhī
立人达人	lì rén dá rén
千古不磨	qiān gǔ bù mó
若不胜衣	ruò bù shèng yī
不期而同	bù qī ér tóng
香火不绝	xiāng huǒ bù jué
名不虚立	míng bù xū lì
心满意足	xīn mǎn yì zú
脚心朝天	jiǎo xīn cháo tiān
以人废言	yǐ rén fèi yán
无言可对	wú yán kě duì
心手相应	xīn shǒu xiāng yìng
风行雨散	fēng xíng yǔ sàn
不得开交	bù dé kāi jiāo
以耳为目	yǐ ěr wéi mù
无千待万	wú qiān dài wàn
千生万死	qiān shēng wàn sǐ
风清月明	fēng qīng yuè míng
明月清风	míng yuè qīng fēng
清风明月	qīng fēng míng yuè
不做不休	bù zuò bù xiū
积重不反	jī zhòng bù fǎn
耳后生风	ěr hòu shēng fēng
有声有色	yǒu shēng yǒu sè
一朝千里	yī zhāo qiān lǐ
千里之志	qiān lǐ zhī zhì
见死不救	jiàn sǐ bù jiù
如日方中	rú rì fāng zhōng
存而不论	cún ér bù lùn
有来无回	yǒu lái wú huí
寡人之疾	guǎ rén zhī jí
美中不足	měi zhōng bù zú
何所不为	hé suǒ bù wéi
万口一词	wàn kǒu yī cí
不言而喻	bù yán ér yù
心如死灰	xīn rú sǐ huī
名满天下	míng mǎn tiān xià
一得之愚	yī dé zhī yú
旁若无人	páng ruò wú rén
言行不符	yán xíng bù fú
食古不化	shí gǔ bù huà
脸无人色	liǎn wú rén sè
闻所不闻	wén suǒ bù wén
风云月露	fēng yún yuè lù
月露风云	yuè lù fēng yún
密不通风	mì bù tōng fēng
一命之荣	yī mìng zhī róng
不识大体	bù shí dà tǐ
心如火焚	xīn rú huǒ fén
惨无人道	cǎn wú rén dào
不易之典	bù yì zhī diǎn
一语道破	yī yǔ dào pò
目不识书	mù bù shí shū
举一反三	jǔ yī fǎn sān
一举三反	yī jǔ sān fǎn
经世之才	jīng shì zhī cái
一举千里	yī jǔ qiān lǐ
自作解人	zì zuò jiě rén
一晦一明	yī huì yī míng
风雨如盘	fēng yǔ rú pán
人心丧尽	rén xīn sàng jìn
风中之烛	fēng zhōng zhī zhú
一言半辞	yī yán bàn cí
同声一辞	tóng shēng yī cí
得人死力	dé rén sǐ lì
了不可见	liǎo bù kě jiàn
人心难测	rén xīn nán cè
大公无私	dà gōng wú sī
皮相之见	pí xiàng zhī jiàn
一以当十	yī yǐ dāng shí
以一当十	yǐ yī dāng shí
一饭千金	yī fàn qiān jīn
一笑置之	yī xiào zhì zhī
死而无怨	sǐ ér wú yuàn
门户之见	mén hù zhī jiàn
至高无上	zhì gāo wú shàng
机不可失	jī bù kě shī
动不失时	dòng bù shī shí
人事不醒	rén shì bù xǐng
不了了之	bù liǎo liǎo zhī
百无一堪	bǎi wú yī kān
吉人天相	jí rén tiān xiàng
成名成家	chéng míng chéng jiā
一相情原	yī xiāng qíng yuán
重足一迹	chóng zú yī jì
一鼓作气	yī gǔ zuò qì
极重不反	jí zhòng bù fǎn
风举云飞	fēng jǔ yún fēi
风不鸣条	fēng bù míng tiáo
生不遇时	shēng bù yù shí
心满意得	xīn mǎn yì dé
悔之不及	huǐ zhī bù jí
同日而论	tóng rì ér lùn
言是人非	yán shì rén fēi
应天从人	yìng tiān cóng rén
同然一辞	tóng rán yī cí
方寸之地	fāng cùn zhī dì
春风一度	chūn fēng yī dù
一廉如水	yī lián rú shuǐ
一走了之	yī zǒu liǎo zhī
草头天子	cǎo tóu tiān zǐ
直道而行	zhí dào ér xíng
千言万语	qiān yán wàn yǔ
千语万言	qiān yǔ wàn yán
万语千言	wàn yǔ qiān yán
云情雨意	yún qíng yǔ yì
一人有庆	yī rén yǒu qìng
先见之明	xiān jiàn zhī míng
同心合力	tóng xīn hé lì
惟日不足	wéi rì bù zú
华而不实	huá ér bù shí
不可移易	bù kě yí yì
比众不同	bǐ zhòng bù tóng
才气过人	cái qì guò rén
天经地义	tiān jīng dì yì
无所重轻	wú suǒ zhòng qīng
风流才子	fēng liú cái zǐ
劳而无功	láo ér wú gōng
谈不容口	tán bù róng kǒu
论世知人	lùn shì zhī rén
知人论世	zhī rén lùn shì
立马万言	lì mǎ wàn yán
不可胜举	bù kě shèng jù
一举万里	yī jǔ wàn lǐ
目无余子	mù wú yú zǐ
合二为一	hé èr wéi yī
不知进退	bù zhī jìn tuì
视死如生	shì sǐ rú shēng
听之任之	tīng zhī rèn zhī
马牛其风	mǎ niú qí fēng
云心水性	yún xīn shuǐ xìng
万夫不当	wàn fū bù dāng
以一持万	yǐ yī chí wàn
大逆无道	dà nì wú dào
百折不移	bǎi zhé bù yí
狗心狗行	gǒu xīn gǒu xíng
安心乐意	ān xīn lè yì
相反相成	xiāng fǎn xiāng chéng
不间不界	bù gān bù gà
千金一刻	qiān jīn yī kè
一刻千金	yī kè qiān jīn
一路风尘	yī lù fēng chén
一路顺风	yī lù shùn fēng
日下无双	rì xià wú shuāng
无征不信	wú zhēng bù xìn
不讳之路	bù huì zhī lù
傲不可长	ào bù kě zhǎng
一挥而成	yī huī ér chéng
无声无臭	wú shēng wú xiù
无情无绪	wú qíng wú xù
耳食之论	ěr shí zhī lùn
冰心一片	bīng xīn yī piàn
一片冰心	yī piàn bīng xīn
行步如飞	xíng bù rú fēi
不期而然	bù qī ér rán
好梦不长	hǎo mèng bù cháng
意气相得	yì qì xiāng dé
白头如新	bái tóu rú xīn
美言不信	měi yán bù xìn
信言不美	xìn yán bù měi
半面不忘	bàn miàn bù wàng
三寸之舌	sān cùn zhī shé
一步一趋	yī bù yī qū
人强胜天	rén qiáng shèng tiān
正身清心	zhèng shēn qīng xīn
心细如发	xīn xì rú fā
一隅之见	yī yú zhī jiàn
命世之才	mìng shì zhī cái
千千万万	qiān qiān wàn wàn
万万千千	wàn wàn qiān qiān
人情世故	rén qíng shì gù
心腹之忧	xīn fù zhī yōu
一通百通	yī tōng bǎi tōng
坐树不言	zuò shù bù yán
知命之年	zhī mìng zhī nián
好心好意	hǎo xīn hǎo yì
目交心通	mù jiāo xīn tōng
大行大市	dà háng dà shì
不测之忧	bù cè zhī yōu
风花雪月	fēng huā xuě yuè
雪月风花	xuě yuè fēng huā
不知起倒	bù zhī qǐ dǎo
先入之见	xiān rù zhī jiàn
日甚一日	rì shèn yī rì
不忙不暴	bù máng bù bào
口耳之学	kǒu ěr zhī xué
一表人才	yī biǎo rén cái
不知死活	bù zhī sǐ huó
意气自若	yì qì zì ruò
如有所失	rú yǒu suǒ shī
心术不正	xīn shù bù zhèng
花天锦地	huā tiān jǐn dì
行不履危	xíng bù lǚ wēi
自强不息	zì qiáng bù xī
一家老小	yī jiā lǎo xiǎo
无往不克	wú wǎng bù kè
天年不遂	tiān nián bù suì
一尘不到	yī chén bù dào
一马当先	yī mǎ dāng xiān
一笔不苟	yī bǐ bù gǒu
大言不惭	dà yán bù cán
山长水远	shān cháng shuǐ yuǎn
水远山长	shuǐ yuǎn shān cháng
心腹之病	xīn fù zhī bìng
至人无梦	zhì rén wú mèng
浮而不实	fú ér bù shí
乐不可极	lè bù kě jí
不知所终	bù zhī suǒ zhōng
心长力短	xīn cháng lì duǎn
无风扬波	wú fēng yáng bō
自新之路	zì xīn zhī lù
避而不谈	bì ér bù tán
密云不雨	mì yún bù yǔ
人才难得	rén cái cái dé
云心鹤眼	yún xīn hè yǎn
独得之见	dú dé zhī jiàn
不露形色	bù lù xíng sè
云天雾地	yún tiān wù dì
杜口无言	dù kǒu wú yán
顿口无言	dùn kǒu wú yán
水满金山	shuǐ mǎn jīn shān
不足为据	bù zú wéi jù
旷古一人	kuàng gǔ yī rén
乘人之危	chéng rén zhī wēi
违心之论	wéi xīn zhī lùn
出师不利	chū shī bù lì
一丝不挂	yī sī bù guà
百折不回	bǎi zhé bù huí
不染一尘	bù rǎn yī chén
一尘不染	yī chén bù rǎn
国将不国	guó jiāng bù guó
天之骄子	tiān zhī jiāo zǐ
一成一旅	yī chéng yī lǚ
曲不离口	qǔ bù lí kǒu
神意自若	shén yì zì ruò
全无心肝	quán wú xīn gān
通家之好	tōng jiā zhī hǎo
大马金刀	dà mǎ jīn dāo
一表人物	yī biǎo rén wù
胆大如斗	dǎn dà rú dǒu
不丰不俭	bù fēng bù jiǎn
百不一贷	bǎi bù yī dài
不直一钱	bù zhí yī qián
一马一鞍	yī mǎ yī ān
功高不赏	gōng gāo bù shǎng
风流云散	fēng liú yún sàn
云散风流	yún sàn fēng liú
一民同俗	yī mín tóng sú
发人深思	fā rén shēn sī
人微言轻	rén wēi yán qīng
风烛之年	fēng zhú zhī nián
头上安头	tóu shàng ān tóu
人才出众	rén cái chū zhòng
博而不精	bó ér bù jīng
心贯白日	xīn guàn bái rì
不差上下	bù chā shàng xià
轻薄无行	qīng báo wú xíng
不容分说	bù róng fēn shuō
不教之教	bù jiào zhī jiào
一字之师	yī zì zhī shī
一板一眼	yī bǎn yīn yǎn
后继无人	hòu jì wú rén
平心而论	píng xīn ér lùn
一孔不达	yī kǒng bù dá
人以群分	rén yǐ qún fēn
未知万一	wèi zhī wàn yī
有口难分	yǒu kǒu nán fēn
心同止水	xīn rú zhǐ shuǐ
成千上万	chéng qiān shàng wàn
飞龙在天	fēi lóng zài tiān
不失时机	bù shī shí jī
恶不去善	wù bù qù shàn
千古不朽	qiān gǔ bù xiǔ
情不自禁	qíng bù zì jìn
四战之地	sì zhàn zhī dì
一言九鼎	yī yán jiǔ dǐng
鱼大水小	yú dà shuǐ xiǎo
虎不食儿	hǔ bù shí ér
杜门不出	dù mén bù chū
眼花心乱	yǎn huā xīn luàn
以毛相马	yǐ máo xiàng mǎ
力所不及	lì suǒ bù jí
百世之师	bǎi shì zhī shī
顺天从人	shùn tiān cóng rén
高下任心	gāo xià rèn xīn
一牛鸣地	yī niú míng dì
口角风情	kǒu jiǎo fēng qíng
有进无退	yǒu jìn wú tuì
安之若命	ān zhī ruò mìng
一步登天	yī bù dēng tiān
不安其室	bù ān qí shì
花甲之年	huā jiǎ zhī nián
神情自若	shén qíng zì ruò
马如游龙	mǎ rú yóu lóng
不急之务	bù jí zhī wù
顺水人情	shùn shuǐ rén qíng
无尽无休	wú jìn wú xiū
狗行狼心	gǒu xíng láng xīn
狼心狗行	láng xīn gǒu xíng
高不可攀	gāo bù kě pān
疾恶如风	jí è rú fēng
出言有章	chū yán yǒu zhāng
不恶而严	bù è ér yán
无风起浪	wú fēng qǐ làng
与众不同	yǔ zhòng bù tóng
得意门生	dé yì mén shēng
犬马之力	quǎn mǎ zhī lì
合胆同心	hé dǎn tóng xīn
同心合胆	tóng xīn hé dǎn
见风是雨	jiàn fēng shì yǔ
大手大脚	dà shǒu dà jiǎo
动人心魄	dòng rén xīn pò
计上心来	jì shàng xīn lái
人人皆知	rén rén jiē zhī
不二法门	bù èr fǎ mén
至死不变	zhì sǐ bù biàn
身无长处	shēn wú cháng chù
自以为是	zì yǐ wéi shì
不识马肝	bù shí mǎ gān
白黑不分	bái hēi bù fēn
一长两短	yī cháng liǎng duǎn
天理良心	tiān lǐ liáng xīn
一丝不苟	yī sī bù gǒu
路见不平	lù jiàn bù píng
风月无边	fēng yuè wú biān
无边风月	wú biān fēng yuè
事不师古	shì bù shī gǔ
一谷不升	yī gǔ bù shēng
毛发之功	máo fà zhī gōng
不郎不秀	bù láng bù xiù
视日如年	shì rì rú nián
不遗余力	bù yí yú lì
人心所向	rén xīn suǒ xiàng
天高听下	tiān gāo tīng xià
眼高手生	yǎn gāo shǒu shēng
格不相入	gé bù xiāng rù
风雷之变	fēng léi zhī biàn
无衣之赋	wú yī zhī fù
不禁不由	bù jīn bù yóu
一手托天	yī shǒu tuō tiān
好景不长	hǎo jǐng bù cháng
百口同声	bǎi kǒu tóng shēng
出入生死	chū rù shēng sǐ
出生入死	chū shēng rù sǐ
出死入生	chū sǐ rù shēng
入死出生	rù sǐ chū shēng
情深一往	qíng shēn yī wǎng
一往情深	yī wǎng qíng shēn
战无不克	zhàn wú bù kè
一匡天下	yī kuāng tiān xià
一口同音	yī kǒu tóng yīn
不绝如线	bù jué rú xiàn
形影不离	xíng yǐng bù lí
影形不离	yǐng xíng bù lí
遗风古道	yí fēng gǔ dào
犬马之年	quǎn mǎ zhī nián
风雨不透	fēng yǔ bù tòu
成日成夜	chéng rì chéng yè
出口伤人	chū kǒu shāng rén
心如坚石	xīn rú jiān shí
有所作为	yǒu suǒ zuò wéi
不吐不茹	bù tǔ bù rú
在人耳目	zài rén ěr mù
瓮天之见	wèng tiān zhī jiàn
天与人归	tiān yǔ rén guī
一本万利	yī běn wàn lì
置之死地	zhì zhī sǐ dì
一毫不差	yī háo bù chā
武不善作	wǔ bù shàn zuò
高天厚地	gāo tiān hòu dì
天高地厚	tiān gāo dì hòu
龙言凤语	lóng yán fèng yǔ
大开大合	dà kāi dà hé
大有文章	dà yǒu wén zhāng
何乐不为	hé lè bù wéi
不虚此行	bù xū cǐ xíng
秘而不言	mì ér bù yán
无所不晓	wú suǒ bù xiǎo
心不由主	xīn bù yóu zhǔ
分而治之	fēn ér zhì zhī
白头而新	bái tóu ér xīn
反水不收	fǎn shuǐ bù shōu
风木之悲	fēng mù zhī bēi
神来之笔	shén lái zhī bǐ
白天见鬼	bái tiān jiàn guǐ
阒无一人	qù wú yī rén
辞不达意	cí bù dá yì
日落西山	rì luò xī shān
难如登天	nán rú dēng tiān
置水之情	zhì shuǐ zhī qíng
大起大落	dà qǐ dà luò
以水投水	yǐ shuǐ tóu shuǐ
风行草从	fēng xíng cǎo cóng
龙心凤肝	lóng xīn fèng gān
目下十行	mù xià shí háng
一字不苟	yī zì bù gǒu
无翼而飞	wú yì ér fēi
一时三刻	yī shí sān kè
千言万说	qiān yán wàn shuō
大有可观	dà yǒu kě guān
不改其乐	bù gǎi qí lè
十日之饮	shí rì zhī yǐn
不随以止	bu shui yi zi
人面兽心	rén miàn shòu xīn
兽心人面	shòu xīn rén miàn
不谋同辞	bù móu tóng cí
林下高风	lín xià gāo fēng
食不重味	shí bù chóng wèi
一清二白	yī qīng èr bái
众心如城	zhòng xīn rú chéng
人命关天	rén mìng guān tiān
称家有无	chèn jiā yǒu wú
一剑之任	yī jiàn zhī rèn
口口声声	kǒu kǒu shēng shēng
不矜不伐	bù jīn bù fá
出师无名	chū shī wú míng
师出无名	shī chū wú míng
无端生事	wú duān shēng shì
万不得已	wàn bù dé yǐ
自成一格	zì chéng yī gé
耳食之谈	ěr shí zhī tán
身外之物	shēn wài zhī wù
行之有效	xíng zhī yǒu xiào
道而不径	dào ér bù jìng
面不改容	miàn bù gǎi róng
同声同气	tóng shēng tóng qì
不挠不屈	bù náo bù qū
不屈不挠	bù qū bù náo
不立文字	bù lì wén zì
流言飞语	liú yán fēi yǔ
不自满假	bù zì mǎn jiǎ
千人所指	qiān rén suǒ zhǐ
天夺之魄	tiān duó zhī pò
半面之交	bàn miàn zhī jiāo
为小失大	wèi xiǎo shī dà
后手不接	hòu shǒu bù jiē
粗心大意	cū xīn dà yì
开心见胆	kāi xīn jiàn dǎn
一丝一毫	yī sī yī háo
众口一辞	zhòng kǒu yī cí
千岁一时	qiān suì yī shí
义不反顾	yì bù fǎn gù
不因人热	bù yīn rén rè
闻风而动	wén fēng ér dòng
十死不问	shí sǐ bù wèn
腹心之患	fù xīn zhī huàn
心腹之患	xīn fù zhī huàn
日慎一日	rì shèn yī rì
深文大义	shēn wén dà yì
不胜其苦	bù shèng qí kǔ
无虑无忧	wú lǜ wú yōu
无忧无虑	wú yōu wú lǜ
不见经传	bù jiàn jīng zhuàn
未定之天	wèi dìng zhī tiān
大是大非	dà shì dà fēi
同心合德	tóng xīn hé dé
卑不足道	bēi bù zú dào
楚天云雨	chǔ tiān yún yǔ
出言无状	chū yán wú zhuàng
足不履影	zú bù lǚ yǐng
一手遮天	yī shǒu zhē tiān
无影无踪	wú yǐng wú zōng
无踪无影	wú zōng wú yǐng
心焦如火	xīn jiāo rú huǒ
人极计生	rén jí jì shēng
千虑一得	qiān lǜ yī dé
有头有脑	yǒu tóu yǒu nǎo
天各一方	tiān gè yī fāng
食不知味	shí bù zhī wèi
从一而终	cóng yī ér zhōng
少不经事	shào bù jīng shì
口是心非	kǒu shì xīn fēi
一衣带水	yī yī dài shuǐ
玉成其事	yù chéng qí shì
林下风气	lín xià fēng qì
知人下士	zhī rén xià shì
动地惊天	dòng dì jīng tiān
惊天动地	jīng tiān dòng dì
痛不欲生	tòng bù yù shēng
平安无事	píng ān wú shì
马尘不及	mǎ chén bù jí
寸心千古	cùn xīn qiān gǔ
闻风而起	wén fēng ér qǐ
闻风而至	wén fēng ér zhì
言三语四	yán sān yǔ sì
语四言三	yǔ sì yán sān
理之当然	lǐ zhī dāng rán
有志之士	yǒu zhì zhī shì
不知所错	bù zhī suǒ cuò
出入无间	chū rù wú jiān
地利人和	dì lì rén hé
两头三面	liǎng tóu sān miàn
三头两面	sān tóu liǎng miàn
人地生疏	rén dì shēng shū
无妄之祸	wú wàng zhī huò
一不扭众	yī bù niǔ zhòng
举步生风	jǔ bù shēng fēng
无情少面	wú qíng shǎo miàn
安身之处	ān shēn zhī chù
地上天官	dì shàng tiān guān
出言成章	chū yán chéng zhāng
雨散风流	yǔ sàn fēng liú
闻风而兴	wén fēng ér xīng
高下其手	gāo xià qí shǒu
誉不绝口	yù bù jué kǒu
荆山之玉	jīng shān zhī yù
毁誉不一	huǐ yù bù yī
心乡往之	xīn xiāng wǎng zhī
心中有数	xīn zhōng yǒu shù
一长半短	yī cháng bàn duǎn
一时之选	yī shí zhī xuǎn
重气轻生	zhòng qì qīng shēng
经国之才	jīng guó zhī cái
坐立不安	zuò lì bù ān
势如水火	shì rú shuǐ huǒ
无始无终	wú shǐ wú zhōng
恩重如山	ēn zhòng rú shān
一还一报	yī huán yī bào
不茶不饭	bù chá bù fàn
车水马龙	chē shuǐ mǎ lóng
马龙车水	mǎ lóng chē shuǐ
马水车龙	mǎ shuǐ chē lóng
难于上天	nán yú shàng tiān
千兵万马	qiān bīng wàn mǎ
尽力而为	jìn lì ér wéi
天从人原	tiān cóng rén yuán
流水落花	liú shuǐ luò huā
落花流水	luò huā liú shuǐ
水流花落	shuǐ liú huā luò
令不虚行	lìng bù xū xíng
风尘之会	fēng chén zhī huì
有头有尾	yǒu tóu yǒu wěi
口无择言	kǒu wú zé yán
不悱不发	bù fěi bù fā
面如满月	miàn rú mǎn yuè
桂玉之地	guì yù zhī dì
素不相能	sù bù xiāng néng
开云见日	kāi yún jiàn rì
云开见日	yún kāi jiàn rì
人生朝露	rén shēng cháo lù
三言两语	sān yán liǎng yǔ
马耳春风	mǎ ěr chūn fēng
人急计生	rén jí jì shēng
不攻自破	bù gōng zì pò
乐而不淫	lè ér bù yín
不打自招	bù dǎ zì zhāo
一定之规	yī dìng zhī guī
金声玉色	jīn shēng yù sè
天命有归	tiān mìng yǒu guī
小大由之	xiǎo dà yóu zhī
不分胜负	bù fēn shèng fù
表里如一	biǎo lǐ rú yī
无肠可断	wú cháng kě duàn
正言不讳	zhèng yán bù huì
一目了然	yī mù liǎo rán
无昼无夜	wú zhòu wú yè
高出一筹	gāo chū yī chóu
百发百中	bǎi fā bǎi zhòng
百中百发	bǎi zhòng bǎi fā
计不反顾	jì bù fǎn gù
食不求甘	shí bù qiú gān
一琴一鹤	yī qín yī hè
不绝如缕	bù jué rú lǚ
等而下之	děng ér xià zhī
二心两意	èr xīn liǎng yì
目无尊长	mù wú zūn zhǎng
一切众生	yī qiè zhòng shēng
于飞之乐	yú fēi zhī lè
一迎一和	yī yíng yī hé
大谬不然	dà miù bù rán
高节清风	gāo jié qīng fēng
清风高节	qīng fēng gāo jié
一穷二白	yī qióng èr bái
当立之年	dāng lì zhī nián
以一奉百	yǐ yī fèng bǎi
脚不点地	jiǎo bù diǎn dì
破门而出	pò mén ér chū
深不可测	shēn bù kě cè
闻一知十	wén yī zhī shí
春风得意	chūn fēng dé yì
反眼不识	fǎn yǎn bù shí
日久天长	rì jiǔ tiān cháng
天长日久	tiān cháng rì jiǔ
云过天空	yún guò tiān kōng
没世不忘	mò shì bù wàng
机不容发	jī bù róng fā
不知寝食	bù zhī qǐn shí
一介不取	yī jiè bù qǔ
不偏不倚	bù piān bù yǐ
千载一时	qiān zǎi yī shí
一时千载	yī shí qiān zǎi
行不副言	xíng bù fù yán
在所不辞	zài suǒ bù cí
百年大计	bǎi nián dà jì
微言大义	wēi yán dà yì
头头是道	tóu tóu shì dào
一身是胆	yī shēn shì dǎn
地久天长	dì jiǔ tiān cháng
天长地久	tiān cháng dì jiǔ
天地长久	tiān dì cháng jiǔ
一偏之论	yī piān zhī lùn
鸡不及凤	jī bù jí fèng
穷天极地	qióng tiān jí dì
如石投水	rú shí tóu shuǐ
如水投石	rú shǔ tóu shí
百年之业	bǎi nián zhī yè
无论如何	wú lùn rú hé
理所不容	lǐ suǒ bù róng
不识一丁	bù shí yī dīng
一丁不识	yī dīng bù shí
亡国之声	wáng guó zhī shēng
日以为常	rì yǐ wéi cháng
视人如伤	shì rén rú shāng
心安理得	xīn ān lǐ dé
少气无力	shǎo qì wú lì
目不忍视	mù bù rěn shì
心高气傲	xīn gāo qì ào
不次之迁	bù cì zhī qiān
东风过耳	dōng fēng guò ěr
黄人守日	huáng rén shǒu rì
秀而不实	xiù ér bù shí
一毫不染	yī háo bù rǎn
百年不遇	bǎi nián bù yù
急不可待	jí bù kě dài
不可名状	bù kě míng zhuàng
心惊胆落	xīn jīng dǎn luò
一长二短	yī cháng èr duǎn
敬而远之	jìng ér yuǎn zhī
闻一知二	wén yī zhī èr
一夫之勇	yī fū zhī yǒng
见可而进	jiàn kě ér jìn
喜不自胜	xǐ bù zì shèng
了不长进	liǎo bù zhǎng jǐn
低心下意	dī xīn xià yì
言从计行	yán cóng jì xíng
言行计从	yán xíng jì cóng
大好河山	dà hǎo hé shān
同气相求	tóng qì xiāng qiú
下笔如神	xià bǐ rú shén
一望无边	yī wàng wú biān
谈论风生	tán lùn fēng shēng
云树之思	yún shù zhī sī
手眼通天	shǒu yǎn tōng tiān
逆耳之言	nì ěr zhī yán
势不两立	shì bù liǎng lì
马上功成	mǎ shàng gōng chéng
杀人如草	shā rén rú cǎo
日东月西	rì dōng yuè xī
日月重光	rì yuè chóng guāng
上下同门	shàng xià tóng mén
不学无术	bù xué wú shù
解人难得	jiě rén nán dé
白手成家	bái shǒu chéng jiā
见机而行	jiàn jī ér xíng
谈天论地	tán tiān lùn dì
不得善终	bù dé shàn zhōng
不欢而散	bù huān ér sàn
大打出手	dà dǎ chū shǒu
乐而不厌	lè ér bù yàn
不负众望	bù fù zhòng wàng
五谷不分	wǔ gǔ bù fēn
百口难分	bǎi kǒu nán fēn
薄情无义	báo qíng wú yì
行不逾方	xíng bù yú fāng
言语道断	yán yǔ dào duàn
一龙一猪	yī lóng yī zhū
半低不高	bàn dī bù gāo
别无长物	bié wú cháng wù
人定胜天	rén dìng shèng tiān
金石之坚	jīn shí zhī jiān
间不容发	jiàn bù róng fà
心向往之	xīn xiàng wǎng zhī
不乏其人	bù fá qí rén
名士风流	míng shì fēng liú
一字一句	yī zì yī jù
千里一曲	qiān lǐ yī qǔ
大有起色	dà yǒu qǐ sè
一无所获	yī wú suǒ huò
变生不测	biàn shēng bù cè
不顾前后	bù gù qián hòu
语重心沉	yǔ zhòng xīn chén
言笑自若	yán xiào zì ruò
得马失马	dé mǎ shī mǎ
不能自已	bù néng zì yǐ
一举两得	yī jǔ liǎng dé
济世之才	jì shì zhī cái
无坚不摧	wú jiān bù cuī
无迹可求	wú jì kě qiú
金人之缄	jīn rén zhī jiān
不衫不履	bù shān bù lǚ
知足不辱	zhī zú bù rǔ
诛心之论	zhū xīn zhī lùn
老天拔地	lǎo tiān bá dì
纷纷不一	fēn fēn bù yī
词不达意	cí bù dá yì
高才大德	gāo cái dà dé
百折不屈	bǎi zhé bù qū
面有难色	miàn yǒu nán sè
神色自若	shén sè zì ruò
人心归向	rén xīn guī xiàng
不可言喻	bù kě yán yù
一望无际	yī wàng wú jì
目不邪视	mù bù xié shì
出其不备	chū qí bù bèi
力不能及	lì bù néng jí
成风之斫	chéng fēng zhī zhuó
欺人之谈	qī rén zhī tán
一介之才	yī jiè zhī cái
高情远意	gāo qíng yuǎn yì
行不苟合	xíng bù gǒu hé
八方风雨	bā fāng fēng yǔ
安不忘危	ān bù wàng wēi
一毫不苟	yī háo bù gǒu
顺人应天	shùn rén yìng tiān
顺天应人	shùn tiān yìng rén
应天顺人	yìng tiān shùn rén
文丝不动	wén sī bù dòng
情深意重	qíng shēn yì zhòng
胆大心细	dǎn dà xīn xì
出奇无穷	chū qí wú qióng
专心一意	zhuān xīn yī yì
点头之交	diǎn tóu zhī jiāo
门不夜关	mén bù yè guān
不知利害	bù zhī lì hài
山眉水眼	shān méi shuǐ yǎn
日月交食	rì yuè jiāo shí
义不取容	yì bù qǔ róng
一蛇两头	yī shé liǎng tóu
迷而不返	mí ér bù fǎn
得手应心	dé shǒu yīng xīn
得心应手	dé xīn yìng shǒu
惊心夺目	jīng xīn duó mù
千难万难	qiān nán wàn nán
其乐无穷	qí lè wú qióng
人尽其才	rén jìn qí cái
计无付之	jì wú fǔ zhī
直言无隐	zhí yán wú yǐn
食不充口	shí bù chōng kǒu
一日三省	yī rì sān xǐng
回天倒日	huí tiān dǎo rì
言不二价	yán bù èr jià
指日可下	zhǐ rì kě xià
山穷水绝	shān qióng shuǐ jué
动人心弦	dòng rén xīn xián
河不出图	hé bù chū tú
深明大义	shēn míng dà yì
意气相投	yì qì xiāng tóu
山光水色	shān guāng shuǐ sè
水光山色	shuǐ guāng shān sè
水色山光	shuǐ sè shān guāng
痛心绝气	tòng xīn jué qì
移天易日	yí tiān yì rì
心花怒发	xīn huā nù fā
虎步龙行	hǔ bù lóng xíng
龙行虎步	lóng xíng hǔ bù
日有万机	rì yǒu wàn jī
高门大户	gāo mén dà hù
不法常可	bù fǎ cháng kě
九流人物	jiǔ liú rén wù
行家里手	háng jiā lǐ shǒu
金鼓连天	jīn gǔ lián tiān
说地谈天	shuō dì tán tiān
谈天说地	tán tiān shuō dì
走头无路	zǒu tóu wú lù
多事之秋	duō shì zhī qiū
用武之地	yòng wǔ zhī dì
一纸千金	yī zhǐ qiān jīn
大经大法	dà jīng dà fǎ
来处不易	lái chù bù yì
鱼水深情	yú shuǐ shēn qíng
人生如寄	rén shēng rú jì
天伦之乐	tiān lún zhī lè
众口一词	zhòng kǒu yī cí
群龙无首	qún lóng wú shǒu
风言雾语	fēng yán wù yǔ
百岁之好	bǎi suì zhī hǎo
当之无愧	dāng zhī wú kuì
言听事行	yán tīng shì xíng
烟花风月	yān huā fēng yuè
一寸赤心	yī cùn chì xīn
没而不朽	méi ér bù xiǔ
马面牛头	mǎ miàn niú tóu
牛头马面	niú tóu mǎ miàn
接连不断	jiē lián bù duàn
海不扬波	hǎi bù yáng bō
壮心不已	zhuàng xīn bù yǐ
独当一面	dú dāng yī miàn
名不虚传	míng bù xū chuán
为期不远	wéi qī bù yuǎn
以防万一	yǐ fáng wàn yī
一轨同风	yī guǐ tóng fēng
冰天雪地	bīng tiān xuě dì
以人为镜	yǐ rén wéi jìng
身不遇时	shēn bù yù shí
一面之款	yī miàn zhī kuǎn
不堪一击	bù kān yī jī
